Dataset,Model,raw_feature_count,post_filter_feature_count,selected_feature_count,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std
CM1,LogReg,21,9,9,0.39959700609586196,0.06502652630635335,0.7972932681108781,0.0954293321123178,0.2755518664342194,0.0540308543453879,0.7511111111111111,0.11729460640352578,0.35748184282785794,0.0820415626149001
CM1,ExtraTrees,21,9,9,0.3836778483145872,0.10808894283922733,0.8104464632347234,0.06952666521405348,0.27850541271593904,0.08739208292711095,0.6511111111111112,0.19007470915860533,0.32717446952740803,0.13189480952567667
CM1,XGB,21,9,9,0.3881980764333705,0.15322264904761382,0.7766930662318502,0.08291210262207122,0.3275258891435362,0.14894690894648427,0.5222222222222223,0.21280025990887314,0.3233638740531276,0.17429701855581098
CM1,RF,21,9,9,0.3855819452131204,0.1566611911494092,0.8016623961487692,0.0730367704940944,0.3130420015714134,0.14645106536175853,0.5577777777777778,0.22688442698844832,0.32294478121447734,0.17902436324465965
CM1,LGBM,21,9,9,0.36850882405061974,0.1254889294383494,0.7573169500737634,0.08255874003933178,0.3280194968430263,0.13049605705638584,0.48000000000000004,0.2173237898381805,0.3057747275804782,0.1471248912261061
CM1,BalancedRF,21,9,9,0.3245314455226052,0.08778071405320374,0.8197600745399488,0.06743840809338227,0.21157761186746693,0.061879759835061374,0.7400000000000001,0.2225109235770485,0.2762797011595485,0.11992402321472828
JM1,ExtraTrees,21,1,1,0.4061946498408609,0.011235599350816299,0.6744407299656914,0.012085186009910875,0.2922993066614879,0.007721942160682454,0.6661480226697617,0.028455925422244538,0.22210253347077422,0.018414574842073456
JM1,BalancedRF,21,1,1,0.4058443687043207,0.011122723471935853,0.6733932912464892,0.012147752043128242,0.29239511967326676,0.007886371725923247,0.663775435514566,0.027524531892582783,0.22151835024590108,0.018207377991206957
JM1,LGBM,21,1,1,0.4049239537277718,0.012097866900483813,0.6733122506163327,0.01216287196925063,0.29285852823621605,0.008017658724942872,0.6566618566618566,0.031316253172281594,0.22019311578680897,0.019488638353375515
JM1,XGB,21,1,1,0.40467464652013596,0.011181800937243108,0.671544515460034,0.011659535179426295,0.2923639614482906,0.00823707500581892,0.6577085555346425,0.026009013396825088,0.21962899477120137,0.01804760151531271
JM1,RF,21,1,1,0.4027086603408892,0.011867068830164718,0.669147698947335,0.011396870605209797,0.2922933320164789,0.007713844817615,0.6476943346508564,0.028872747111006184,0.21669374099474678,0.018972191613925268
JM1,LogReg,21,1,1,0.38410481906640315,0.019136142403015966,0.6245289524599309,0.020830439715462664,0.32102635847045524,0.016858414797094108,0.4786477612564569,0.027864235929682693,0.2053674709178924,0.025847012348429614
KC1,XGB,21,8,8,0.4436935388886229,0.023998397005314608,0.7907852599260393,0.033372481923292695,0.30869282316561075,0.0171127200301721,0.7945726495726496,0.0809714151918129,0.34640560366912937,0.0418119873231782
