Dataset,Model,solver,max_iter,C,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,subsample,reg_lambda,reg_alpha,min_child_weight,learning_rate,gamma,colsample_bytree,num_leaves,min_child_samples,sampling_strategy
CM1,LogReg,liblinear,500.0,0.01,,,,,,,,,,,,,,,,
CM1,RF,,,,400.0,5.0,8.0,sqrt,12.0,True,,,,,,,,,,
CM1,XGB,,,,800.0,,,,4.0,,1.0,1.0,0.1,5.0,0.05,1.0,1.0,,,
CM1,LGBM,,,,200.0,,,,5.0,,0.8,0.1,1.0,,0.1,,1.0,63.0,40.0,
CM1,ExtraTrees,,,,300.0,20.0,4.0,0.5,12.0,,,,,,,,,,,
CM1,BalancedRF,,,,800.0,20.0,8.0,,12.0,,,,,,,,,,,auto
JM1,LogReg,lbfgs,500.0,0.01,,,,,,,,,,,,,,,,
JM1,RF,,,,200.0,20.0,2.0,log2,8.0,True,,,,,,,,,,
JM1,XGB,,,,400.0,,,,3.0,,0.8,2.0,0.1,7.0,0.1,1.0,0.8,,,
JM1,LGBM,,,,400.0,,,,12.0,,1.0,0.01,0.1,,0.01,,1.0,63.0,40.0,
JM1,ExtraTrees,,,,500.0,20.0,8.0,0.5,12.0,,,,,,,,,,,
JM1,BalancedRF,,,,300.0,2.0,1.0,,8.0,,,,,,,,,,,auto
KC1,LogReg,lbfgs,500.0,0.01,,,,,,,,,,,,,,,,
KC1,RF,,,,400.0,20.0,8.0,sqrt,20.0,True,,,,,,,,,,
KC1,XGB,,,,200.0,,,,3.0,,0.6,5.0,1.0,5.0,0.01,0.0,0.8,,,
KC1,LGBM,,,,400.0,,,,5.0,,0.8,0.0,0.1,,0.01,,0.6,15.0,40.0,
KC1,ExtraTrees,,,,800.0,2.0,8.0,log2,,,,,,,,,,,,
KC1,BalancedRF,,,,800.0,20.0,1.0,,12.0,,,,,,,,,,,not minority
KC2,LogReg,lbfgs,500.0,0.1,,,,,,,,,,,,,,,,
KC2,RF,,,,200.0,5.0,8.0,sqrt,,True,,,,,,,,,,
KC2,XGB,,,,800.0,,,,6.0,,1.0,10.0,1.0,7.0,0.1,0.1,0.6,,,
KC2,LGBM,,,,200.0,,,,5.0,,0.8,0.1,1.0,,0.1,,1.0,63.0,40.0,
KC2,ExtraTrees,,,,300.0,5.0,1.0,log2,30.0,,,,,,,,,,,
KC2,BalancedRF,,,,500.0,2.0,2.0,,,,,,,,,,,,,all
KC3,LogReg,lbfgs,500.0,0.1,,,,,,,,,,,,,,,,
KC3,RF,,,,200.0,5.0,8.0,sqrt,,True,,,,,,,,,,
KC3,XGB,,,,200.0,,,,3.0,,1.0,5.0,0.01,5.0,0.01,1.0,0.8,,,
KC3,LGBM,,,,400.0,,,,5.0,,0.6,0.01,1.0,,0.1,,1.0,15.0,10.0,
KC3,ExtraTrees,,,,800.0,5.0,1.0,0.5,,,,,,,,,,,,
KC3,BalancedRF,,,,500.0,2.0,2.0,,,,,,,,,,,,,all
MC1,LogReg,lbfgs,500.0,0.01,,,,,,,,,,,,,,,,
MC1,RF,,,,200.0,5.0,8.0,sqrt,,True,,,,,,,,,,
MC1,XGB,,,,200.0,,,,4.0,,0.6,2.0,0.1,3.0,0.1,0.3,0.8,,,
MC1,LGBM,,,,800.0,,,,8.0,,1.0,1.0,0.01,,0.1,,0.6,31.0,10.0,
MC1,ExtraTrees,,,,500.0,5.0,2.0,sqrt,20.0,,,,,,,,,,,
MC1,BalancedRF,,,,500.0,2.0,2.0,,,,,,,,,,,,,all
MC2,LogReg,lbfgs,500.0,1.0,,,,,,,,,,,,,,,,
MC2,RF,,,,800.0,5.0,1.0,0.5,,True,,,,,,,,,,
MC2,XGB,,,,800.0,,,,4.0,,0.8,5.0,0.1,1.0,0.05,0.0,0.6,,,
MC2,LGBM,,,,400.0,,,,12.0,,0.8,1.0,1.0,,0.03,,0.8,127.0,10.0,
MC2,ExtraTrees,,,,500.0,20.0,8.0,sqrt,20.0,,,,,,,,,,,
MC2,BalancedRF,,,,300.0,2.0,1.0,,12.0,,,,,,,,,,,not minority
MW1,LogReg,lbfgs,500.0,0.01,,,,,,,,,,,,,,,,
MW1,RF,,,,200.0,5.0,4.0,log2,12.0,True,,,,,,,,,,
MW1,XGB,,,,400.0,,,,4.0,,0.8,1.0,0.0,3.0,0.01,0.0,0.6,,,
MW1,LGBM,,,,400.0,,,,-1.0,,1.0,1.0,1.0,,0.05,,1.0,15.0,10.0,
MW1,ExtraTrees,,,,500.0,10.0,4.0,log2,12.0,,,,,,,,,,,
MW1,BalancedRF,,,,500.0,5.0,2.0,,12.0,,,,,,,,,,,all
PC1,LogReg,liblinear,500.0,0.01,,,,,,,,,,,,,,,,
PC1,RF,,,,400.0,20.0,8.0,sqrt,20.0,True,,,,,,,,,,
PC1,XGB,,,,800.0,,,,6.0,,1.0,10.0,0.01,5.0,0.03,0.3,0.8,,,
PC1,LGBM,,,,400.0,,,,12.0,,0.6,1.0,0.01,,0.05,,1.0,31.0,40.0,
PC1,ExtraTrees,,,,800.0,5.0,2.0,log2,,,,,,,,,,,,
PC1,BalancedRF,,,,800.0,5.0,2.0,,30.0,,,,,,,,,,,all
PC2,LogReg,lbfgs,500.0,0.01,,,,,,,,,,,,,,,,
PC2,RF,,,,400.0,20.0,4.0,0.5,30.0,True,,,,,,,,,,
PC2,XGB,,,,200.0,,,,4.0,,0.6,1.0,1.0,7.0,0.03,1.0,1.0,,,
PC2,LGBM,,,,400.0,,,,5.0,,0.8,0.0,0.1,,0.01,,0.6,15.0,40.0,
PC2,ExtraTrees,,,,500.0,2.0,8.0,0.5,,,,,,,,,,,,
PC2,BalancedRF,,,,500.0,2.0,4.0,,12.0,,,,,,,,,,,all
PC3,LogReg,liblinear,500.0,0.01,,,,,,,,,,,,,,,,
PC3,RF,,,,200.0,20.0,2.0,log2,8.0,True,,,,,,,,,,
PC3,XGB,,,,200.0,,,,3.0,,0.6,5.0,1.0,5.0,0.01,0.0,0.8,,,
PC3,LGBM,,,,200.0,,,,12.0,,0.6,0.1,0.0,,0.01,,0.8,15.0,40.0,
PC3,ExtraTrees,,,,300.0,20.0,2.0,log2,8.0,,,,,,,,,,,
PC3,BalancedRF,,,,800.0,20.0,1.0,,,,,,,,,,,,,all
PC4,LogReg,lbfgs,500.0,1.0,,,,,,,,,,,,,,,,
PC4,RF,,,,400.0,10.0,4.0,log2,12.0,True,,,,,,,,,,
PC4,XGB,,,,400.0,,,,3.0,,0.6,10.0,0.0,1.0,0.03,0.1,1.0,,,
PC4,LGBM,,,,200.0,,,,8.0,,0.8,1.0,0.01,,0.03,,0.8,127.0,40.0,
PC4,ExtraTrees,,,,300.0,10.0,1.0,log2,,,,,,,,,,,,
PC4,BalancedRF,,,,500.0,5.0,1.0,,20.0,,,,,,,,,,,not minority
