Dataset,raw_feature_count,post_filter_feature_count,selected_feature_count,Model,Threshold,F1,Precision,Recall,AUC-ROC,MCC,Baseline_F1,Baseline_MCC,Baseline_AUC_ROC,Delta_F1,Delta_MCC,Delta_AUC_ROC
CM1,21,9,9,LogReg,0.5098105963172945,0.2857142857142857,0.1875,0.6,0.7411111111111112,0.2000816826662603,0.4274952919020716,0.2408671398865501,0.6719910980755378,-0.14178100618778589,-0.040785457220289784,0.06912001303557336
CM1,21,9,9,XGB,0.16843128204345703,0.26666666666666666,0.16,0.8,0.7566666666666667,0.2,0.4440677966101695,0.2493867209227186,0.6868651589996912,-0.17740112994350282,-0.04938672092271859,0.06980150766697546
CM1,21,9,9,RF,0.15428606186979665,0.2465753424657534,0.14285714285714285,0.9,0.7166666666666666,0.18641092980036003,0.2684124386252046,0.236262410894647,0.6883554595039622,-0.021837096159451175,-0.04985148109428697,0.02831120716270441
CM1,21,9,9,BalancedRF,0.5717201936565328,0.2608695652173913,0.16666666666666666,0.6,0.6933333333333334,0.16666666666666666,0.3342618384401114,0.2317542984856294,0.6883014304826592,-0.07339227322272013,-0.06508763181896274,0.005031902850674119
CM1,21,9,9,ExtraTrees,0.35846830981592154,0.22580645161290322,0.1346153846153846,0.7,0.74,0.12009611535381536,0.4551282051282051,0.3002805915477367,0.7016736132551199,-0.2293217535153019,-0.1801844761939213,0.03832638674488009
CM1,21,9,9,LGBM,0.009553696894178426,0.20689655172413793,0.11688311688311688,0.9,0.7177777777777777,0.10297049891304745,0.3304597701149425,0.2413011691604569,0.686178861788618,-0.12356321839080456,-0.13833067024740947,0.03159891598915976
JM1,21,1,1,LogReg,0.5839532301113697,0.35567715458276333,0.41935483870967744,0.3087885985748218,0.6319331345803191,0.23313825100680424,0.4274952919020716,0.2408671398865501,0.6719910980755378,-0.07181813731930825,-0.007728888879745849,-0.04005796349521873
JM1,21,1,1,ExtraTrees,0.5180863455249219,0.3742255266418835,0.3911917098445596,0.3586698337292161,0.6762731375020967,0.23250973531951172,0.4551282051282051,0.3002805915477367,0.7016736132551199,-0.0809026784863216,-0.06777085622822496,-0.025400475753023177
JM1,21,1,1,XGB,0.5995776057243347,0.3701863354037267,0.3880208333333333,0.35391923990498814,0.6722746308550529,0.22806178296374247,0.4440677966101695,0.2493867209227186,0.6868651589996912,-0.07388146120644279,-0.021324937958976137,-0.014590528144638348
JM1,21,1,1,BalancedRF,0.6153719362333238,0.3647959183673469,0.3939393939393939,0.33966745843230406,0.6709030186290371,0.22715438631389231,0.3342618384401114,0.2317542984856294,0.6883014304826592,0.030534079927235502,-0.0045999121717370806,-0.01739841185362212
JM1,21,1,1,LGBM,0.6075537707529736,0.3645443196004994,0.38421052631578945,0.34679334916864607,0.6729340598098681,0.22218178939469677,0.3304597701149425,0.2413011691604569,0.686178861788618,0.03408454948555689,-0.01911937976576014,-0.013244801978749887
JM1,21,1,1,RF,0.4752057837551073,0.3900355871886121,0.2784552845528455,0.6508313539192399,0.6679616273218663,0.19561778327171825,0.2684124386252046,0.236262410894647,0.6883554595039622,0.1216231485634075,-0.04064462762292875,-0.020393832182095895
KC1,21,8,8,RF,0.5585755777185836,0.6013071895424836,0.5227272727272727,0.7076923076923077,0.8481361775479423,0.5242778799815218,0.2684124386252046,0.236262410894647,0.6883554595039622,0.33289475091727905,0.28801546908687475,0.1597807180439802
KC1,21,8,8,BalancedRF,0.6940916194016201,0.5714285714285714,0.5588235294117647,0.5846153846153846,0.8529627235509588,0.49148439092885043,0.3342618384401114,0.2317542984856294,0.6883014304826592,0.23716673298845997,0.25973009244322104,0.16466129306829957
