Dataset,raw_feature_count,post_filter_feature_count,selected_feature_count,Model,Threshold,F1,Precision,Recall,AUC-ROC,MCC,DatasetRank
PC4,37,19,15,ExtraTrees,0.5395944090307826,0.6578947368421053,0.6097560975609756,0.7142857142857143,0.9291828793774319,0.6095911362286243,1
MC2,39,14,14,RF,0.6982155467266987,0.6153846153846154,1.0,0.4444444444444444,0.6944444444444445,0.5819143739626463,1
MW1,37,13,12,LogReg,0.6948322578440592,0.6,0.6,0.6,0.6521739130434783,0.5565217391304348,1
KC1,21,8,8,RF,0.5585755777185836,0.6013071895424836,0.5227272727272727,0.7076923076923077,0.8481361775479423,0.5242778799815218,1
KC2,21,6,6,LogReg,0.46404673846641087,0.5925925925925926,0.5,0.7272727272727273,0.82092004381161,0.4725665874589415,1
PC1,21,9,9,BalancedRF,0.7169166666666671,0.48484848484848486,0.47058823529411764,0.5,0.8910800970873787,0.443764792914761,1
PC3,37,16,14,ExtraTrees,0.5040694989946184,0.47619047619047616,0.3508771929824561,0.7407407407407407,0.813443072702332,0.4089330528398153,1
KC3,39,10,10,ExtraTrees,0.5353326624399266,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6919642857142857,0.30357142857142855,1
MC1,38,19,15,LGBM,0.42245513976643495,0.2857142857142857,0.4,0.2222222222222222,0.7932019423021993,0.2863271986504372,1
JM1,21,1,1,LogReg,0.5839532301113697,0.35567715458276333,0.41935483870967744,0.3087885985748218,0.6319331345803191,0.23313825100680424,1
CM1,21,9,9,LogReg,0.5098105963172945,0.2857142857142857,0.1875,0.6,0.7411111111111112,0.2000816826662603,1
PC2,36,12,12,BalancedRF,0.5800309523809528,0.12121212121212122,0.06666666666666667,0.6666666666666666,0.7100456621004566,0.1663382666909807,1
